Unnamed: 0,Titel,Artikel,Datum
145,politielimburgnoord.nl,"politielimburgnoord.nl politielimburgnoord.nl var isAdult=false;var xbase='5cf90ea5aaffbe82248b58b0';var sbtext='Zoeken';var xt_auto_load=0;var ads='',pop_cats='';var rxid='0';var uniqueTrackingID='MTU1OTgyNjA4NS43MzkxOjE4N2YwMzZhMzY2ODViYjRlMGMyNjk0Y2EyYWRkNmYyMzlkMTA4ZWU2ZTdlN2QyZTI1ZDVjNmY1YWM4MmE1YTY6NWNmOTBlYTViNDcyOA==';var search='';var is_afs=false;var country='nl';var themedata='fENsZWFuUGVwcGVybWludDIzfHxiODNkYnxidWNrZXQwOTh8fGJ1Y2tldDA0NXx8MHx8NWNmOTBlYTViM2M4ZHx8fDE1NTk4MjYwODUuNzQyOXw1Y2ZkODdkMGFjNDhiNDFkZGEzNGQwNGQ1YzUwMmQ1ZWM5NWVkNDFkfHx8fHwxfHx8MHx8fHwxfHx8fHwwfDB8fHx8fHx8fHx8MHwxfHwwfDB8MXwwfDB8ZXlKemRIbHNaVWxrSWpvaU9UUXpOemszTmprME9DSjl8';var domain='politielimburgnoord.nl';var scriptPath='';var adtest='off';var useFallbackTerms=false; x(pageOptions,{resultsPageBaseUrl: 'http://ww6.politielimburgnoord.nl/?ts=fENsZWFuUGVwcGVybWludDIzfHxiODNkYnxidWNrZXQwOTh8fGJ1Y2tldDA0NXx8MHx8NWNmOTBlYTViM2M4ZHx8fDE1NTk4MjYwODUuNzQ0N3wzYmM5YmMwNWYzMzJkYWJiNmNlZWUwYjc3YTQxOWU5NjkyMzcxMzA0fHx8fHwxfHx8MHw1Y2Y5MGVhNWFhZmZiZTgyMjQ4YjU4YjB8fHwxfHx8fHwwfDB8fHx8fHx8fHx8MHwxfDVjZjkwZWE1YWFmZmJlODIyNDhiNThiMHwwfDB8MXwwfDB8ZXlKemRIbHNaVWxrSWpvaU9UUXpOemszTmprME9DSjl8', hl: 'nl', kw: '112 meldingen', terms: '112 meldingen,Noord limburg,P2000 politie,Politie,Hennep,Vacatures gemeente,Melding politie,Politie limburg zuid meldingen', optimizeTerms: false, uiOptimize: true,  channel: 'bucket098,bucket045', pubId: 'dp-teaminternet09_3ph', adtest: 'off', personalizedAds: false, clicktrackUrl: 'http://ww6.politielimburgnoord.nl/track.' + 'php?click=caf' + '&domain=politielimburgnoord.nl&rxid=0&uid=MTU1OTgyNjA4NS43MzkxOjE4N2YwMzZhMzY2ODViYjRlMGMyNjk0Y2EyYWRkNmYyMzlkMTA4ZWU2ZTdlN2QyZTI1ZDVjNmY1YWM4MmE1YTY6NWNmOTBlYTViNDcyOA%3D%3D&ts=fENsZWFuUGVwcGVybWludDIzfHxiODNkYnxidWNrZXQwOTh8fGJ1Y2tldDA0NXx8MHx8NWNmOTBlYTViM2M4ZHx8fDE1NTk4MjYwODUuNzQ0N3wzYmM5YmMwNWYzMzJkYWJiNmNlZWUwYjc3YTQxOWU5NjkyMzcxMzA0fHx8fHwxfHx8MHw1Y2Y5MGVhNWFhZmZiZTgyMjQ4YjU4YjB8fHwxfHx8fHwwfDB8fHx8fHx8fHx8MHwxfDVjZjkwZWE1YWFmZmJlODIyNDhiNThiMHwwfDB8MXwwfDB8ZXlKemRIbHNaVWxrSWpvaU9UUXpOemszTmprME9DSjl8&adtest=off'});",?/?/????
146,Door vrachtwagen overreden man overleden | Blik op nieuws,"Door vrachtwagen overreden man overleden De 80-jarige Rotterdammer die maandagochtend zwaar gewond raakte bij een aanrijding op de Boezemweg is dinsdag aan zijn verwondingen overleden. Dit heeft de politie woensdag bekendgemaakt. 
    Een 31-jarige vrachtwagenbestuurder uit Albrandswaard reed maandag op de Boezemweg in de richting van het Oostplein. Ter hoogte van de Goudse Rijweg sloeg de chauffeur rechtsaf terwijl het slachtoffer er op dat moment vermoedelijk naast reed.  
Door nog onbekende oorzaak kwam het slachtoffer met zijn fiets onder de vrachtwagen terecht. Personeel van de Trauma Heli en een Mobiel Medisch Team kwamen ter plaatse voor hulpverlening. De man is gereanimeerd en overgebracht naar het Erasmus Medisch Centrum. Daar is hij dinsdag overleden aan zijn verwondingen.  
De Verkeers Ongevallen Groep van de politie Rotterdam Rijnmond is bezig met een onderzoek naar de toedracht van de aanrijding.  ",18/8/2010
147,"DeStentor.nl, het laatste nieuws uit de regio's rond Apeldoorn, Deventer en Zwolle | destentor.nl", includes/sections/sportcenter.html   / includes/sections/sportcenter.html  Exclusief voor abonnees Lees alles over de onderwerpen die jou interesseren,?/?/????
148,Motorrijder was 23-jarige man - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland,"Motorrijder was 23-jarige man - HVZeeland - Nieuws en achtergronden rond veiligheid en hulpverlening in de provincie Zeeland De politie doet nog onderzoek naar de exacte toedracht. 'S-GRAVENPOLDER - De motorrijder die vanmorgen is omgekomen bij het ongeval's Gravenpolder is een 23-jarige man uit de gemeente Kapelle. Dat heeft de politie bekend gemaakt. Het ongeluk vond rond 07.10 uur plaats op de Schoorkenszandweg. Een eerste inschatting geeft volgens de politie aan dat er bij een inhaalmanoeuvre iets verkeerd is gegaan. Een auto, bestuurd door een 20-jarige man uit de gemeente Reimerswaal, komende uit de richting Ovezande wilde een auto voor hem inhalen. Hij zag daarbij de motorrijder die hem inhaalde over het hoofd. De 23-jarige man kwam ten val en overleed aan zijn verwondingen. De politie hoopt via het sporenonderzoek de exacte toedracht van het ongeluk te achterhalen. Ook de gereden snelheid wordt onderzocht. De auto van de 20-jarige man is in beslag genomen voor onderzoek. De weg was tot 10.30 uur afgezet. Heel veel sterkte voor familie en vrienden!

En laat mensen maar speculeren en dingen roepen, gewoon niet op in gaan. En wellicht zijn dit speculaties om te kijken waar het fout ging en dit in het vervolg zelf te kunnen voorkomen... De mensen denken er toch over na. Frank, zo veel als ik met je gelachen heb, zo verdrietig ben ik nu.

Ouders, broers, zus, familie, vrienden en bekenden heel veel sterkte toegewenst. Verschrikkelijk!

Kreeg wel even kippenvel over hoe het ongeluk is gebeurt.

Mij is dezelfde situatie ook overkomen deze week ,ik was ook een auto aan het inhalen en die had mij ook niet gezien en kwam ook ineens naar links.Gelukkig dat ik net genoeg ruimte had om uit te wijken.

Mensen kijk uit aub Frank krijgen we hier niet mee terug.

Over het hoe en wat blijft het allemaal gissen.

Heb respect voor de familie en voor ons als vrienden.

Wij zijn een dierbare kwijt en moeten dat nog beseffen en accepteren...",?/?/????
149,Pagina niet gevonden | Blik op nieuws,"
      De gevraagde pagina '/blikop112bericht/20530/vrachtwagen_te_water;_chauffeur_overleden.html' kon niet worden gevonden.    ",?/?/????
150,Pagina niet gevonden | Blik op nieuws,"
      De gevraagde pagina '/bericht/85474/Man_komt_om_bij_ongeval' kon niet worden gevonden.    ",?/?/????
151,Drie doden door ongeluk met spookrijder op A2 | NU - Het laatste nieuws het eerst op NU.nl,"Drie doden door ongeluk met spookrijder op A2 Drie mensen zijn in de nacht van vrijdag op zaterdag om het leven gekomen door een ernstig ongeval op snelweg A2.Ã‚Â  Een spookrijder kwam ter hoogte van Beek (Limburg) frontaal op een andere auto terecht.Ã‚Â  De bestuurster, een 51-jarige vrouw uit Meerssen, botste rond 02.30 uur op een wagen met twee inzittenden. ''Alle drie de personen zijn overleden'', aldus de politiewoordvoerder. Het is nog onduidelijk hoe de automobiliste op de verkeerde weghelft terecht is gekomen. De twee slachtoffers in de aangereden auto zijn een 25-jarige vrouw en een 26-jarige man uit Maastricht. De snelweg werd tussen Maastricht en Beek na het ongeval afgesloten voor onderzoek. Rond 07.30 uur ging de weg deels weer open. Ter hoogte van Echt blijft ÃƒÂ©ÃƒÂ©n rijstrook nog tot 14.00 dicht. Rijkswaterstaat repareert daar asfaltschade die door het ongeluk is ontstaan.",06/6/2019
152,Pagina niet gevonden | Blik op nieuws,"
      De gevraagde pagina '/bericht/43308' kon niet worden gevonden.    ",?/?/????
153,Dode (19) bij ongeval Zijtaart | Binnenland | Telegraaf.nl,"04 mrt. 2013 in BINNENLAND Een 19-jarige jongen is maandagavond overleden aan de verwondingen die hij opliep na een auto-ongeluk in Zijtaart eerder op de dag. Dat meldt Blauw Geel'38, de voetbalclub uit Veghel waar hij speelde. Het gaat om Jeroen van Lanen, basisspeler van het tweede team van de club. De vereniging is in diepe rouw. De auto botste door nog onbekende oorzaak tegen een boom in de Jekschot. De bestuurskant van de wagen raakte zwaarbeschadigd. Alle vier de inzittenden raakten gewond. Een van hen werd zwaargewond met een traumahelikopter naar Nijmegen gebracht, waar hij in de avond overleed, meldt Omroep Brabant. Hoe het met de drie andere gewonden is, is onduidelijk. 04 mrt. 2013 in BINNENLAND",04/3/2013
154,Verongelukte fietser Den Dolder is man uit Soest | RTV Utrecht," - De fietser die gisteravond omkwam op een spoorwegovergang in Den Dolder, is een 31-jarige man uit Soest. Dat heeft de politie bekendgemaakt. De fietser werd zaterdag rond 18.15 uur aangereden door een trein op de dubbele spoorwegovergang op de Dolderseweg. Volgens de politie wilde de man te vroeg het dubbele spoor oversteken. Aan ÃƒÂ©ÃƒÂ©n kant zouden de spoorbomen al omhoog zijn gegaan, maar aan de andere kant nog niet. Meerdere brandweerwagens en een ambulance rukten uit, maar het slachtoffer bleek de aanrijding niet te hebben overleefd.  Door het dodelijke ongeluk hebben er een tijdlang geen treinen gereden tussen Bilthoven en Den Dolder en Soest en Den Dolder. Inmiddels rijdt alles weer volgens schema.   De kruising op de Dolderseweg staat al jaren bekend als gevaarlijk. ProRail wil de overgang het liefst  , zodat ongelukken worden voorkomen. Sommige ondernemers in een aangrenzende winkelstraat vrezen zo echter inkomsten mis te lopen.  De Verkeers Ongevallen Analyse (VOA) van de politie en spoorbeheerder ProRail doen ter plekke onderzoek. De Dolderseweg is gedeeltelijk afgezet.",6/8/2017
155,Fietser (79) overleden na aanrijding | Blik op nieuws,"De 79-jarige fietser die woensdagmiddag 14 maart ernstig gewond raakte bij een aanrijding is vrijdag in het ziekenhuis aan zijn verwondingen overleden. 
    De man liep neurologisch letsel op nadat hij rond 16.30 uur op de Boekert door een 57-jarige automobilist werd aangereden. Het slachtoffer kwam ten val en kwam met zijn hoofd tegen een betonnen paaltje terecht.  
De 57-jarige automobilist reed door. Hij kon later worden aangehouden in zijn woning in Lutjebroek.  ",17/3/2012
156,Pagina niet gevonden | Blik op nieuws,"
      De gevraagde pagina '/blikop112bericht/12592/dode_bij_verkeersongeval_den_bosch.html' kon niet worden gevonden.    ",?/?/????
157,Man overlijdt aan steekwonden | Blik op nieuws,"Man overlijdt aan steekwonden Een 34-jarige man uit Zwolle is woensdagmiddag 30 mei overleden aan de verwondingen die hij opliep bij een steekincident aan de Knopenmakerstraat. 
    Een 42-jarige verdachte zonder vaste woon- of verblijfplaats is aangehouden. De twee mannen, die bekenden van elkaar waren en beiden een Armeense afkomst hebben, kregen om nog onduidelijke reden ruzie waarbij beiden steekwonden opliepen. De wonden van de 34-jarige man waren dusdanig dat hij eraan bezweek.  
De 42-jarige verdachte liep verwondingen aan zijn arm en hand op. Hij is na aanhouding overgebracht naar het ziekenhuis waar hij in de loop van woensdagmiddag werd geopereerd. De politie heeft hem daardoor nog niet kunnen horen. De toedracht van het incident is daarom nog niet duidelijk. De politie is een onderzoek gestart. Zo is de plaats delict onderzocht en heeft een buurtonderzoek plaatsgevonden.  ",31/5/2012
158,112Gelderland - Buurmalsen - Update: dodelijk verkeersongeval,"Het laatste nieuws van de provincie Gelderland  112Gelderland 468x60  Zondagmiddag rond 14.00 uur vond op de Rijksstraatweg (N833) een eenzijdig verkeersongeval plaats met dodelijke afloop. Het onderzoek ter plaatse naar de toedracht is inmiddels afgerond. De bestuurder reed met zijn auto vanuit de richting Geldermalsen naar Culemborg. Ter hoogte van Buurmalsen is hij door onbekende oorzaakvan de weg geraakt, rechts in de berm. Vervolgens kwam hij na tegensturen links tegen een boom terecht.  Diversehulpverleningsdiensten gingen naar de plaats van het ongeval, maar dit mocht niet meer baten. Hetslachtoffer was op slag dood. De afdeling VerkeersOngevallenAnalyse (VOA) deed technisch sporenonderzoek naar de toedracht. De weg is inmiddels weer vrij voor verkeer.   Inmiddels is de familie van het slachtoffer in kennis gesteld en zijn identiteit definitief vastgesteld. Het gaat om een 76-jarige inwoner van Dordrecht.   112Gelderland 468x60  Help mee om regionaal nieuws beter in kaart te brengen en stuur jouw nieuws of foto's in. Nieuwsberichten bladeren",17/11/????
159,Slachtoffer bij Assen-Noord was 30-jarige man uit Grootegast - RTV Drenthe,"

						De bestuurder van een bedrijfswagen die vanmiddag op de A28 bij Assen-Noord om het leven kwam, was een 30-jarige man uit Grootegast.

					 

						Zijn wagen raakte door nog onbekende oorzaak van de weg bij de oprit naar de snelweg. Naast de weg sloeg hij over de kop en de auto kwam op zijn zijkant in het gras terecht.Ã‚Â  Volgens de politie was er sprake van een eenzijdig ongeluk en ook zat er niemand anders in de auto. Het slachtoffer overleed ter plekke. Bij het ongeluk raakte verder niemand gewond.

					",31/8/2018
